,Saldo Líquido,Número de entradas,Taxa de acerto,Payoff,Média de lucro por operação,Desvio padrão
2393,1931.1,165.0,0.59,1.38,11.7,91.0
2394,-449.48,28.0,0.32,0.43,-16.05,37.71
2395,-1194.48,28.0,0.36,0.24,-42.66,65.97
2396,-1514.48,28.0,0.36,0.2,-54.09,85.57
2397,-754.48,28.0,0.11,0.25,-26.95,40.43
2398,-1554.48,28.0,0.14,0.18,-55.52,69.1
2399,-1839.48,28.0,0.14,0.16,-65.7,86.06
2400,-974.48,28.0,0.07,0.07,-34.8,22.54
2401,-1879.48,28.0,0.07,0.04,-67.12,48.04
2402,-2164.48,28.0,0.07,0.03,-77.3,68.52
2403,466.1,165.0,0.57,1.15,2.82,39.67
2404,1436.1,165.0,0.76,1.44,8.7,53.68
2405,1561.1,165.0,0.79,1.48,9.46,60.03
2406,436.1,165.0,0.4,1.1,2.64,59.44
2407,1716.1,165.0,0.59,1.35,10.4,78.77
2408,2051.1,165.0,0.62,1.42,12.43,84.1
2409,-48.9,165.0,0.36,0.99,-0.3,64.41
2410,1581.1,165.0,0.56,1.31,9.58,85.98
2411,1931.1,165.0,0.59,1.38,11.7,91.0
2412,-396.18,23.0,0.3,0.4,-17.23,37.26
2413,-1151.18,23.0,0.3,0.19,-50.05,63.9
2414,-1456.18,23.0,0.3,0.15,-63.31,84.9
2415,-676.18,23.0,0.09,0.22,-29.4,40.33
2416,-1446.18,23.0,0.13,0.17,-62.88,68.8
2417,-1696.18,23.0,0.13,0.15,-73.75,86.29
2418,-896.18,23.0,0.04,0.02,-38.96,13.33
2419,-1771.18,23.0,0.04,0.01,-77.01,38.09
2420,-2021.18,23.0,0.04,0.01,-87.88,61.98
2421,466.1,165.0,0.57,1.15,2.82,39.67
2422,1436.1,165.0,0.76,1.44,8.7,53.68
2423,1561.1,165.0,0.79,1.48,9.46,60.03
2424,436.1,165.0,0.4,1.1,2.64,59.44
2425,1716.1,165.0,0.59,1.35,10.4,78.77
2426,2051.1,165.0,0.62,1.42,12.43,84.1
2427,-48.9,165.0,0.36,0.99,-0.3,64.41
2428,1581.1,165.0,0.56,1.31,9.58,85.98
2429,1931.1,165.0,0.59,1.38,11.7,91.0
2430,726.96,144.0,0.6,1.34,5.05,36.31
2431,1286.96,144.0,0.7,1.67,8.94,41.14
2432,1436.96,144.0,0.71,1.8,9.98,42.05
2433,1261.96,144.0,0.53,1.49,8.76,51.39
2434,1911.96,144.0,0.62,1.81,13.28,56.28
2435,1981.96,144.0,0.62,1.87,13.76,57.56
2436,701.96,144.0,0.51,1.26,4.87,48.56
2437,1526.96,144.0,0.62,1.63,10.6,55.17
2438,1596.96,144.0,0.62,1.68,11.09,56.49
2439,578.66,149.0,0.59,1.25,3.88,36.57
2440,1138.66,149.0,0.69,1.55,7.64,41.99
2441,1418.66,149.0,0.7,1.77,9.52,40.55
2442,658.66,149.0,0.5,1.23,4.42,49.59
2443,1148.66,149.0,0.59,1.42,7.71,56.22
2444,1413.66,149.0,0.59,1.57,9.49,55.12
2445,168.66,149.0,0.48,1.06,1.13,47.17
2446,853.66,149.0,0.58,1.3,5.73,55.7
2447,1118.66,149.0,0.58,1.44,7.51,54.66
2448,689.3,145.0,0.6,1.31,4.75,36.43
2449,1284.3,145.0,0.7,1.66,8.86,41.05
2450,1434.3,145.0,0.7,1.79,9.89,41.96
2451,1184.3,145.0,0.52,1.45,8.17,51.22
2452,1869.3,145.0,0.62,1.79,12.89,55.98
2453,1939.3,145.0,0.62,1.84,13.37,57.26
2454,624.3,145.0,0.51,1.23,4.31,48.36
2455,1484.3,145.0,0.61,1.61,10.24,54.85
2456,1554.3,145.0,0.61,1.66,10.72,56.18
2457,578.66,149.0,0.59,1.25,3.88,36.57
2458,1138.66,149.0,0.69,1.55,7.64,41.99
2459,1418.66,149.0,0.7,1.77,9.52,40.55
2460,658.66,149.0,0.5,1.23,4.42,49.59
2461,1148.66,149.0,0.59,1.42,7.71,56.22
2462,1413.66,149.0,0.59,1.57,9.49,55.12
2463,168.66,149.0,0.48,1.06,1.13,47.17
2464,853.66,149.0,0.58,1.3,5.73,55.7
2465,1118.66,149.0,0.58,1.44,7.51,54.66
2466,603.98,147.0,0.6,1.27,4.11,36.51
2467,1073.98,147.0,0.69,1.51,7.31,42.17
2468,1358.98,147.0,0.7,1.74,9.24,40.64
2469,1113.98,147.0,0.52,1.42,7.58,51.36
2470,1538.98,147.0,0.61,1.6,10.47,56.72
2471,1733.98,147.0,0.61,1.73,11.8,56.17
2472,578.98,147.0,0.51,1.21,3.94,48.81
2473,1188.98,147.0,0.61,1.45,8.09,55.86
2474,1383.98,147.0,0.61,1.57,9.41,55.36
2475,578.66,149.0,0.59,1.25,3.88,36.57
2476,1138.66,149.0,0.69,1.55,7.64,41.99
2477,1418.66,149.0,0.7,1.77,9.52,40.55
2478,658.66,149.0,0.5,1.23,4.42,49.59
2479,1148.66,149.0,0.59,1.42,7.71,56.22
2480,1413.66,149.0,0.59,1.57,9.49,55.12
2481,168.66,149.0,0.48,1.06,1.13,47.17
2482,853.66,149.0,0.58,1.3,5.73,55.7
2483,1118.66,149.0,0.58,1.44,7.51,54.66
2484,406.66,99.0,0.6,1.26,4.11,37.38
2485,406.66,99.0,0.7,1.21,4.11,49.93
2486,396.66,99.0,0.72,1.21,4.01,54.3
2487,636.66,99.0,0.52,1.34,6.43,50.67
2488,526.66,99.0,0.61,1.22,5.32,63.67
2489,516.66,99.0,0.63,1.22,5.22,67.47
2490,246.66,99.0,0.49,1.13,2.49,48.69
2491,261.66,99.0,0.6,1.11,2.64,63.1
2492,251.66,99.0,0.62,1.1,2.54,66.92
2493,578.66,149.0,0.59,1.25,3.88,36.57
2494,1138.66,149.0,0.69,1.55,7.64,41.99
2495,1418.66,149.0,0.7,1.77,9.52,40.55
2496,658.66,149.0,0.5,1.23,4.42,49.59
2497,1148.66,149.0,0.59,1.42,7.71,56.22
2498,1413.66,149.0,0.59,1.57,9.49,55.12
2499,168.66,149.0,0.48,1.06,1.13,47.17
2500,853.66,149.0,0.58,1.3,5.73,55.7
2501,1118.66,149.0,0.58,1.44,7.51,54.66
2502,444.32,98.0,0.6,1.29,4.53,37.29
2503,589.32,98.0,0.7,1.34,6.01,47.77
2504,514.32,98.0,0.71,1.28,5.25,53.12
2505,834.32,98.0,0.54,1.46,8.51,51.27
2506,799.32,98.0,0.62,1.38,8.16,61.44
2507,724.32,98.0,0.63,1.33,7.39,66.03
2508,504.32,98.0,0.52,1.27,5.15,50.97
2509,619.32,98.0,0.61,1.29,6.32,62.51
2510,544.32,98.0,0.62,1.24,5.55,67.01
2511,578.66,149.0,0.59,1.25,3.88,36.57
2512,1138.66,149.0,0.69,1.55,7.64,41.99
2513,1418.66,149.0,0.7,1.77,9.52,40.55
2514,658.66,149.0,0.5,1.23,4.42,49.59
2515,1148.66,149.0,0.59,1.42,7.71,56.22
2516,1413.66,149.0,0.59,1.57,9.49,55.12
2517,168.66,149.0,0.48,1.06,1.13,47.17
2518,853.66,149.0,0.58,1.3,5.73,55.7
2519,1118.66,149.0,0.58,1.44,7.51,54.66
2520,569.32,98.0,0.61,1.38,5.81,37.09
2521,644.32,98.0,0.69,1.39,6.57,46.61
2522,664.32,98.0,0.7,1.4,6.78,50.59
2523,789.32,98.0,0.53,1.43,8.05,51.33
2524,844.32,98.0,0.6,1.41,8.62,60.48
2525,854.32,98.0,0.61,1.42,8.72,64.04
2526,434.32,98.0,0.51,1.23,4.43,50.75
2527,639.32,98.0,0.59,1.31,6.52,61.38
2528,649.32,98.0,0.6,1.31,6.63,64.89
2529,578.66,149.0,0.59,1.25,3.88,36.57
2530,1138.66,149.0,0.69,1.55,7.64,41.99
2531,1418.66,149.0,0.7,1.77,9.52,40.55
2532,658.66,149.0,0.5,1.23,4.42,49.59
2533,1148.66,149.0,0.59,1.42,7.71,56.22
2534,1413.66,149.0,0.59,1.57,9.49,55.12
2535,168.66,149.0,0.48,1.06,1.13,47.17
2536,853.66,149.0,0.58,1.3,5.73,55.7
2537,1118.66,149.0,0.58,1.44,7.51,54.66
2538,-431.18,23.0,0.3,0.35,-18.75,35.77
2539,-1011.18,23.0,0.35,0.21,-43.96,62.65
2540,-1451.18,23.0,0.35,0.16,-63.09,83.43
2541,-491.18,23.0,0.22,0.32,-21.36,39.26
2542,-1126.18,23.0,0.26,0.19,-48.96,65.0
2543,-1531.18,23.0,0.26,0.15,-66.57,83.69
2544,-526.18,23.0,0.22,0.27,-22.88,34.89
2545,-1161.18,23.0,0.26,0.17,-50.49,61.75
2546,-1566.18,23.0,0.26,0.13,-68.09,80.85
2547,578.66,149.0,0.59,1.25,3.88,36.57
2548,1138.66,149.0,0.69,1.55,7.64,41.99
2549,1418.66,149.0,0.7,1.77,9.52,40.55
2550,658.66,149.0,0.5,1.23,4.42,49.59
2551,1148.66,149.0,0.59,1.42,7.71,56.22
2552,1413.66,149.0,0.59,1.57,9.49,55.12
2553,168.66,149.0,0.48,1.06,1.13,47.17
2554,853.66,149.0,0.58,1.3,5.73,55.7
2555,1118.66,149.0,0.58,1.44,7.51,54.66
2556,-383.2,20.0,0.3,0.34,-19.16,35.43
2557,-943.2,20.0,0.35,0.2,-47.16,64.13
2558,-1398.2,20.0,0.35,0.14,-69.91,87.19
2559,-403.2,20.0,0.25,0.35,-20.16,40.8
2560,-1018.2,20.0,0.3,0.2,-50.91,68.23
2561,-1438.2,20.0,0.3,0.15,-71.91,88.99
2562,-458.2,20.0,0.25,0.26,-22.91,33.7
2563,-1073.2,20.0,0.3,0.16,-53.66,62.84
2564,-1493.2,20.0,0.3,0.12,-74.66,84.21
2565,578.66,149.0,0.59,1.25,3.88,36.57
2566,1138.66,149.0,0.69,1.55,7.64,41.99
2567,1418.66,149.0,0.7,1.77,9.52,40.55
2568,658.66,149.0,0.5,1.23,4.42,49.59
2569,1148.66,149.0,0.59,1.42,7.71,56.22
2570,1413.66,149.0,0.59,1.57,9.49,55.12
2571,168.66,149.0,0.48,1.06,1.13,47.17
2572,853.66,149.0,0.58,1.3,5.73,55.7
2573,1118.66,149.0,0.58,1.44,7.51,54.66
2574,-297.56,16.0,0.31,0.34,-18.6,35.65
2575,-582.56,16.0,0.44,0.26,-36.41,64.46
2576,-982.56,16.0,0.44,0.17,-61.41,92.57
2577,-222.56,16.0,0.31,0.51,-13.91,45.55
2578,-502.56,16.0,0.44,0.36,-31.41,72.01
2579,-902.56,16.0,0.44,0.24,-56.41,99.32
2580,-277.56,16.0,0.31,0.39,-17.35,38.06
2581,-557.56,16.0,0.44,0.29,-34.85,66.56
2582,-957.56,16.0,0.44,0.19,-59.85,94.48
2583,578.66,149.0,0.59,1.25,3.88,36.57
2584,1138.66,149.0,0.69,1.55,7.64,41.99
2585,1418.66,149.0,0.7,1.77,9.52,40.55
2586,658.66,149.0,0.5,1.23,4.42,49.59
2587,1148.66,149.0,0.59,1.42,7.71,56.22
2588,1413.66,149.0,0.59,1.57,9.49,55.12
2589,168.66,149.0,0.48,1.06,1.13,47.17
2590,853.66,149.0,0.58,1.3,5.73,55.7
2591,1118.66,149.0,0.58,1.44,7.51,54.66
2592,951.96,144.0,0.62,1.43,6.61,37.88
2593,1596.96,144.0,0.77,1.7,11.09,47.79
2594,1276.96,144.0,0.78,1.48,8.87,57.4
2595,1241.96,144.0,0.49,1.42,8.62,56.38
2596,2211.96,144.0,0.63,1.71,15.36,67.93
2597,1686.96,144.0,0.64,1.46,11.72,77.06
2598,676.96,144.0,0.47,1.22,4.7,59.37
2599,2076.96,144.0,0.62,1.65,14.42,74.07
2600,1491.96,144.0,0.63,1.39,10.36,83.2
2601,913.66,149.0,0.62,1.39,6.13,37.92
2602,1448.66,149.0,0.76,1.58,9.72,49.18
2603,1408.66,149.0,0.79,1.52,9.45,56.87
2604,848.66,149.0,0.46,1.27,5.7,55.17
2605,1638.66,149.0,0.6,1.46,11.0,69.18
2606,1708.66,149.0,0.62,1.46,11.47,75.74
2607,158.66,149.0,0.44,1.05,1.06,55.31
2608,1418.66,149.0,0.59,1.38,9.52,73.51
2609,1408.66,149.0,0.62,1.37,9.45,80.31
2610,984.3,145.0,0.63,1.45,6.79,37.68
2611,1614.3,145.0,0.77,1.71,11.13,47.73
2612,1294.3,145.0,0.79,1.49,8.93,57.3
2613,1339.3,145.0,0.49,1.46,9.24,56.47
2614,2294.3,145.0,0.63,1.74,15.82,68.01
2615,1769.3,145.0,0.64,1.49,12.2,77.09
2616,764.3,145.0,0.47,1.25,5.27,59.38
2617,2149.3,145.0,0.63,1.67,14.82,74.03
2618,1564.3,145.0,0.63,1.41,10.79,83.13
2619,913.66,149.0,0.62,1.39,6.13,37.92
2620,1448.66,149.0,0.76,1.58,9.72,49.18
2621,1408.66,149.0,0.79,1.52,9.45,56.87
2622,848.66,149.0,0.46,1.27,5.7,55.17
2623,1638.66,149.0,0.6,1.46,11.0,69.18
2624,1708.66,149.0,0.62,1.46,11.47,75.74
2625,158.66,149.0,0.44,1.05,1.06,55.31
2626,1418.66,149.0,0.59,1.38,9.52,73.51
2627,1408.66,149.0,0.62,1.37,9.45,80.31
2628,918.98,147.0,0.62,1.4,6.25,37.88
2629,1428.98,147.0,0.76,1.58,9.72,49.22
2630,1388.98,147.0,0.79,1.52,9.45,57.01
2631,1273.98,147.0,0.48,1.43,8.67,56.42
2632,2123.98,147.0,0.63,1.64,14.45,68.93
2633,1958.98,147.0,0.65,1.55,13.33,76.73
2634,618.98,147.0,0.46,1.2,4.21,58.19
2635,1863.98,147.0,0.62,1.55,12.68,73.7
2636,1618.98,147.0,0.64,1.43,11.01,81.62
2637,913.66,149.0,0.62,1.39,6.13,37.92
2638,1448.66,149.0,0.76,1.58,9.72,49.18
2639,1408.66,149.0,0.79,1.52,9.45,56.87
2640,848.66,149.0,0.46,1.27,5.7,55.17
2641,1638.66,149.0,0.6,1.46,11.0,69.18
2642,1708.66,149.0,0.62,1.46,11.47,75.74
2643,158.66,149.0,0.44,1.05,1.06,55.31
2644,1418.66,149.0,0.59,1.38,9.52,73.51
2645,1408.66,149.0,0.62,1.37,9.45,80.31
2646,486.66,99.0,0.61,1.29,4.92,38.9
2647,676.66,99.0,0.76,1.35,6.83,52.6
2648,671.66,99.0,0.78,1.34,6.78,59.17
2649,751.66,99.0,0.48,1.35,7.59,57.02
2650,696.66,99.0,0.6,1.25,7.04,72.26
2651,761.66,99.0,0.63,1.27,7.69,78.74
2652,131.66,99.0,0.45,1.06,1.33,56.02
2653,286.66,99.0,0.58,1.1,2.9,74.61
2654,291.66,99.0,0.61,1.1,2.95,81.96
2655,913.66,149.0,0.62,1.39,6.13,37.92
2656,1448.66,149.0,0.76,1.58,9.72,49.18
2657,1408.66,149.0,0.79,1.52,9.45,56.87
2658,848.66,149.0,0.46,1.27,5.7,55.17
2659,1638.66,149.0,0.6,1.46,11.0,69.18
2660,1708.66,149.0,0.62,1.46,11.47,75.74
2661,158.66,149.0,0.44,1.05,1.06,55.31
2662,1418.66,149.0,0.59,1.38,9.52,73.51
2663,1408.66,149.0,0.62,1.37,9.45,80.31
2664,529.32,98.0,0.61,1.33,5.4,38.79
2665,874.32,98.0,0.77,1.51,8.92,50.24
2666,789.32,98.0,0.79,1.42,8.05,58.65
2667,929.32,98.0,0.49,1.45,9.48,57.57
2668,959.32,98.0,0.6,1.38,9.79,70.44
2669,944.32,98.0,0.63,1.35,9.64,78.25
2670,369.32,98.0,0.46,1.17,3.77,58.11
2671,584.32,98.0,0.58,1.22,5.96,73.69
2672,509.32,98.0,0.61,1.18,5.2,82.23
2673,913.66,149.0,0.62,1.39,6.13,37.92
2674,1448.66,149.0,0.76,1.58,9.72,49.18
2675,1408.66,149.0,0.79,1.52,9.45,56.87
2676,848.66,149.0,0.46,1.27,5.7,55.17
2677,1638.66,149.0,0.6,1.46,11.0,69.18
2678,1708.66,149.0,0.62,1.46,11.47,75.74
2679,158.66,149.0,0.44,1.05,1.06,55.31
2680,1418.66,149.0,0.59,1.38,9.52,73.51
2681,1408.66,149.0,0.62,1.37,9.45,80.31
2682,659.32,98.0,0.62,1.42,6.73,38.53
2683,864.32,98.0,0.76,1.5,8.82,49.75
2684,894.32,98.0,0.79,1.5,9.13,56.72
2685,849.32,98.0,0.48,1.41,8.67,57.06
2686,889.32,98.0,0.59,1.35,9.07,69.69
2687,1024.32,98.0,0.63,1.4,10.45,76.16
2688,259.32,98.0,0.45,1.12,2.65,57.4
2689,474.32,98.0,0.57,1.18,4.84,72.89
2690,549.32,98.0,0.61,1.2,5.61,80.24
2691,913.66,149.0,0.62,1.39,6.13,37.92
2692,1448.66,149.0,0.76,1.58,9.72,49.18
2693,1408.66,149.0,0.79,1.52,9.45,56.87
2694,848.66,149.0,0.46,1.27,5.7,55.17
2695,1638.66,149.0,0.6,1.46,11.0,69.18
2696,1708.66,149.0,0.62,1.46,11.47,75.74
2697,158.66,149.0,0.44,1.05,1.06,55.31
2698,1418.66,149.0,0.59,1.38,9.52,73.51
2699,1408.66,149.0,0.62,1.37,9.45,80.31
2700,-471.18,23.0,0.26,0.32,-20.49,35.67
2701,-946.18,23.0,0.35,0.24,-41.14,64.8
2702,-1281.18,23.0,0.35,0.19,-55.7,87.16
2703,-586.18,23.0,0.13,0.26,-25.49,41.14
2704,-1086.18,23.0,0.17,0.22,-47.23,70.26
2705,-1221.18,23.0,0.22,0.25,-53.09,95.63
2706,-706.18,23.0,0.09,0.11,-30.7,28.23
2707,-1236.18,23.0,0.13,0.11,-53.75,58.6
2708,-1371.18,23.0,0.17,0.16,-59.62,86.97
2709,913.66,149.0,0.62,1.39,6.13,37.92
2710,1448.66,149.0,0.76,1.58,9.72,49.18
2711,1408.66,149.0,0.79,1.52,9.45,56.87
2712,848.66,149.0,0.46,1.27,5.7,55.17
2713,1638.66,149.0,0.6,1.46,11.0,69.18
2714,1708.66,149.0,0.62,1.46,11.47,75.74
2715,158.66,149.0,0.44,1.05,1.06,55.31
2716,1418.66,149.0,0.59,1.38,9.52,73.51
2717,1408.66,149.0,0.62,1.37,9.45,80.31
2718,-423.2,20.0,0.25,0.31,-21.16,35.28
2719,-1003.2,20.0,0.3,0.18,-50.16,64.16
2720,-1383.2,20.0,0.3,0.14,-69.16,86.83
2721,-598.2,20.0,0.1,0.15,-29.91,33.38
2722,-1183.2,20.0,0.15,0.15,-59.16,65.8
2723,-1363.2,20.0,0.2,0.18,-68.16,94.21
2724,-713.2,20.0,0.05,0.02,-35.66,15.34
2725,-1328.2,20.0,0.1,0.06,-66.41,51.27
2726,-1508.2,20.0,0.15,0.11,-75.41,83.89
2727,913.66,149.0,0.62,1.39,6.13,37.92
2728,1448.66,149.0,0.76,1.58,9.72,49.18
2729,1408.66,149.0,0.79,1.52,9.45,56.87
2730,848.66,149.0,0.46,1.27,5.7,55.17
2731,1638.66,149.0,0.6,1.46,11.0,69.18
2732,1708.66,149.0,0.62,1.46,11.47,75.74
2733,158.66,149.0,0.44,1.05,1.06,55.31
2734,1418.66,149.0,0.59,1.38,9.52,73.51
2735,1408.66,149.0,0.62,1.37,9.45,80.31
2736,-332.56,16.0,0.25,0.31,-20.78,35.44
2737,-612.56,16.0,0.38,0.27,-38.28,65.55
2738,-1032.56,16.0,0.38,0.18,-64.54,94.05
2739,-342.56,16.0,0.12,0.36,-21.41,47.45
2740,-627.56,16.0,0.19,0.32,-39.22,75.84
2741,-1047.56,16.0,0.19,0.22,-65.47,101.24
2742,-397.56,16.0,0.06,0.28,-24.85,49.9
2743,-712.56,16.0,0.12,0.24,-44.54,73.19
2744,-1132.56,16.0,0.12,0.17,-70.78,97.76
2745,913.66,149.0,0.62,1.39,6.13,37.92
2746,1448.66,149.0,0.76,1.58,9.72,49.18
2747,1408.66,149.0,0.79,1.52,9.45,56.87
2748,848.66,149.0,0.46,1.27,5.7,55.17
2749,1638.66,149.0,0.6,1.46,11.0,69.18
2750,1708.66,149.0,0.62,1.46,11.47,75.74
2751,158.66,149.0,0.44,1.05,1.06,55.31
2752,1418.66,149.0,0.59,1.38,9.52,73.51
2753,1408.66,149.0,0.62,1.37,9.45,80.31
2754,1051.96,144.0,0.63,1.47,7.31,38.5
2755,1601.96,144.0,0.78,1.63,11.12,51.23
2756,1101.96,144.0,0.8,1.35,7.65,63.71
2757,1241.96,144.0,0.46,1.39,8.62,59.87
2758,2466.96,144.0,0.62,1.65,17.13,77.02
2759,1766.96,144.0,0.63,1.38,12.27,89.02
2760,596.96,144.0,0.4,1.17,4.15,65.72
2761,2316.96,144.0,0.58,1.56,16.09,86.74
2762,1546.96,144.0,0.59,1.31,10.74,98.05
2763,993.66,149.0,0.62,1.42,6.67,38.67
2764,1563.66,149.0,0.77,1.58,10.49,51.61
2765,1293.66,149.0,0.8,1.42,8.68,62.85
2766,893.66,149.0,0.43,1.26,6.0,59.14
2767,1833.66,149.0,0.58,1.43,12.31,77.54
2768,1568.66,149.0,0.61,1.33,10.53,87.81
2769,163.66,149.0,0.38,1.04,1.1,61.99
2770,1653.66,149.0,0.55,1.37,11.1,84.86
2771,1368.66,149.0,0.58,1.27,9.19,95.2
2772,1089.3,145.0,0.63,1.48,7.51,38.45
2773,1684.3,145.0,0.79,1.68,11.62,50.54
2774,1134.3,145.0,0.8,1.36,7.82,63.57
2775,1344.3,145.0,0.46,1.42,9.27,60.1
2776,2614.3,145.0,0.62,1.7,18.03,76.63
2777,1864.3,145.0,0.63,1.4,12.86,89.0
2778,634.3,145.0,0.41,1.18,4.37,65.52
2779,2399.3,145.0,0.58,1.59,16.55,86.08
2780,1579.3,145.0,0.59,1.32,10.89,97.74
2781,993.66,149.0,0.62,1.42,6.67,38.67
2782,1563.66,149.0,0.77,1.58,10.49,51.61
2783,1293.66,149.0,0.8,1.42,8.68,62.85
2784,893.66,149.0,0.43,1.26,6.0,59.14
2785,1833.66,149.0,0.58,1.43,12.31,77.54
2786,1568.66,149.0,0.61,1.33,10.53,87.81
2787,163.66,149.0,0.38,1.04,1.1,61.99
2788,1653.66,149.0,0.55,1.37,11.1,84.86
2789,1368.66,149.0,0.58,1.27,9.19,95.2
2790,998.98,147.0,0.62,1.43,6.8,38.63
2791,1473.98,147.0,0.77,1.55,10.03,51.93
2792,1203.98,147.0,0.8,1.39,8.19,63.23
2793,1253.98,147.0,0.45,1.38,8.53,59.99
2794,2308.98,147.0,0.61,1.58,15.71,77.25
2795,1813.98,147.0,0.63,1.39,12.34,88.67
2796,478.98,147.0,0.39,1.13,3.26,64.41
2797,1918.98,147.0,0.56,1.45,13.05,85.03
2798,1403.98,147.0,0.59,1.28,9.55,96.32
2799,993.66,149.0,0.62,1.42,6.67,38.67
2800,1563.66,149.0,0.77,1.58,10.49,51.61
2801,1293.66,149.0,0.8,1.42,8.68,62.85
2802,893.66,149.0,0.43,1.26,6.0,59.14
2803,1833.66,149.0,0.58,1.43,12.31,77.54
2804,1568.66,149.0,0.61,1.33,10.53,87.81
2805,163.66,149.0,0.38,1.04,1.1,61.99
2806,1653.66,149.0,0.55,1.37,11.1,84.86
2807,1368.66,149.0,0.58,1.27,9.19,95.2
2808,461.66,99.0,0.6,1.27,4.66,39.32
2809,586.66,99.0,0.75,1.28,5.93,54.85
2810,541.66,99.0,0.76,1.25,5.47,62.38
2811,701.66,99.0,0.43,1.3,7.09,60.6
2812,841.66,99.0,0.57,1.26,8.5,80.28
2813,811.66,99.0,0.59,1.24,8.2,89.7
2814,-188.34,99.0,0.36,0.93,-1.9,62.2
2815,331.66,99.0,0.52,1.1,3.35,87.04
2816,221.66,99.0,0.54,1.06,2.24,95.78
2817,993.66,149.0,0.62,1.42,6.67,38.67
2818,1563.66,149.0,0.77,1.58,10.49,51.61
2819,1293.66,149.0,0.8,1.42,8.68,62.85
2820,893.66,149.0,0.43,1.26,6.0,59.14
2821,1833.66,149.0,0.58,1.43,12.31,77.54
2822,1568.66,149.0,0.61,1.33,10.53,87.81
2823,163.66,149.0,0.38,1.04,1.1,61.99
2824,1653.66,149.0,0.55,1.37,11.1,84.86
2825,1368.66,149.0,0.58,1.27,9.19,95.2
2826,504.32,98.0,0.6,1.3,5.15,39.23
2827,824.32,98.0,0.77,1.44,8.41,52.66
2828,574.32,98.0,0.78,1.26,5.86,62.87
2829,939.32,98.0,0.46,1.43,9.58,60.9
2830,1109.32,98.0,0.59,1.38,11.32,78.65
2831,934.32,98.0,0.61,1.28,9.53,89.16
2832,109.32,98.0,0.39,1.04,1.12,64.1
2833,604.32,98.0,0.54,1.19,6.17,85.84
2834,349.32,98.0,0.56,1.1,3.56,95.46
2835,993.66,149.0,0.62,1.42,6.67,38.67
2836,1563.66,149.0,0.77,1.58,10.49,51.61
2837,1293.66,149.0,0.8,1.42,8.68,62.85
2838,893.66,149.0,0.43,1.26,6.0,59.14
2839,1833.66,149.0,0.58,1.43,12.31,77.54
2840,1568.66,149.0,0.61,1.33,10.53,87.81
2841,163.66,149.0,0.38,1.04,1.1,61.99
2842,1653.66,149.0,0.55,1.37,11.1,84.86
2843,1368.66,149.0,0.58,1.27,9.19,95.2
2844,664.32,98.0,0.62,1.42,6.78,38.86
2845,904.32,98.0,0.77,1.5,9.23,51.59
2846,824.32,98.0,0.79,1.42,8.41,60.13
2847,939.32,98.0,0.46,1.43,9.58,60.9
2848,1234.32,98.0,0.59,1.44,12.6,77.63
2849,1079.32,98.0,0.61,1.34,11.01,87.76
2850,129.32,98.0,0.39,1.05,1.32,64.36
2851,834.32,98.0,0.54,1.28,8.51,84.53
2852,559.32,98.0,0.56,1.16,5.71,94.27
2853,993.66,149.0,0.62,1.42,6.67,38.67
2854,1563.66,149.0,0.77,1.58,10.49,51.61
2855,1293.66,149.0,0.8,1.42,8.68,62.85
2856,893.66,149.0,0.43,1.26,6.0,59.14
2857,1833.66,149.0,0.58,1.43,12.31,77.54
2858,1568.66,149.0,0.61,1.33,10.53,87.81
2859,163.66,149.0,0.38,1.04,1.1,61.99
2860,1653.66,149.0,0.55,1.37,11.1,84.86
2861,1368.66,149.0,0.58,1.27,9.19,95.2
2862,-476.18,23.0,0.26,0.32,-20.7,35.64
2863,-1036.18,23.0,0.35,0.22,-45.05,66.11
2864,-1421.18,23.0,0.39,0.17,-61.79,89.39
2865,-676.18,23.0,0.09,0.22,-29.4,40.33
2866,-1296.18,23.0,0.13,0.18,-56.36,69.09
2867,-1481.18,23.0,0.22,0.21,-64.4,95.91
2868,-811.18,23.0,0.09,0.07,-35.27,21.31
2869,-1481.18,23.0,0.13,0.07,-64.4,51.51
2870,-1696.18,23.0,0.22,0.09,-73.75,80.75
2871,993.66,149.0,0.62,1.42,6.67,38.67
2872,1563.66,149.0,0.77,1.58,10.49,51.61
2873,1293.66,149.0,0.8,1.42,8.68,62.85
2874,893.66,149.0,0.43,1.26,6.0,59.14
2875,1833.66,149.0,0.58,1.43,12.31,77.54
2876,1568.66,149.0,0.61,1.33,10.53,87.81
2877,163.66,149.0,0.38,1.04,1.1,61.99
2878,1653.66,149.0,0.55,1.37,11.1,84.86
2879,1368.66,149.0,0.58,1.27,9.19,95.2
2880,-428.2,20.0,0.25,0.3,-21.41,35.24
2881,-1043.2,20.0,0.3,0.18,-52.16,65.31
2882,-1348.2,20.0,0.35,0.14,-67.41,90.08
2883,-688.2,20.0,0.05,0.12,-34.41,31.51
2884,-1323.2,20.0,0.1,0.13,-66.16,65.46
2885,-1388.2,20.0,0.2,0.17,-69.41,95.84
2886,-768.2,20.0,0.05,0.02,-38.41,14.26
2887,-1453.2,20.0,0.1,0.04,-72.66,49.71
2888,-1548.2,20.0,0.2,0.08,-77.41,82.61
2889,993.66,149.0,0.62,1.42,6.67,38.67
2890,1563.66,149.0,0.77,1.58,10.49,51.61
2891,1293.66,149.0,0.8,1.42,8.68,62.85
